Id ;Heure;Débit;Total;Pression;Densité
637;05:37:48;0;2;72;
638;05:37:52;0;2;67;
639;05:37:56;0;2;72;
640;05:38:00;0;2;67;
641;05:38:04;0;2;70;
642;05:38:08;0;2;67;
643;05:38:12;0;2;68;
644;05:38:16;0;2;67;
645;05:38:20;0;2;67;
646;05:38:24;0;2;67;
647;05:38:28;0;2;67;
648;05:38:32;0;2;67;
649;05:38:36;0;2;67;
650;05:38:40;0;2;67;
651;05:38:44;0;2;67;
652;05:38:48;0;2;67;
653;05:38:52;0;2;67;
654;05:38:56;0;2;67;
655;05:39:00;0;2;67;
656;05:39:04;0;2;67;
657;05:39:08;0;2;67;
658;05:39:12;0;2;67;
659;05:39:16;0;2;67;
660;05:39:20;0;2;67;
661;05:39:24;0;2;67;
662;05:39:28;0;2;66;
663;05:39:32;0;2;66;
664;05:39:36;0;2;66;
665;05:39:40;0;2;66;
666;05:39:44;0;2;66;
667;05:39:48;0;2;66;
668;05:39:52;0;2;66;
669;05:39:56;0;2;66;
670;05:40:00;0;2;66;
671;05:40:04;0;2;66;
672;05:40:08;0;2;66;
673;05:40:12;0;2;66;
674;05:40:16;0;2;66;
675;05:40:20;0;2;66;
676;05:40:24;0;2;66;
677;05:40:28;0;2;66;
678;05:40:32;0;2;66;
679;05:40:36;0;2;66;
680;05:40:40;0;2;66;
681;05:40:44;0;2;66;
682;05:40:48;0;2;66;
683;05:40:52;0;2;66;
684;05:40:56;0;2;66;
685;05:41:00;0;2;66;
686;05:41:04;0;2;66;
687;05:41:08;0;2;66;
688;05:41:12;0;2;66;
689;05:41:16;0;2;66;
690;05:41:20;0;2;66;
691;05:41:24;0;2;66;
692;05:41:28;0;2;66;
693;05:41:32;0;2;66;
694;05:41:36;0;2;66;
695;05:41:40;0;2;66;
696;05:41:44;0;2;66;
697;05:41:48;0;2;66;
698;05:41:52;0;2;66;
699;05:41:56;0;2;66;
700;05:42:00;0;2;66;
701;05:42:04;0;2;66;
702;05:42:08;0;2;66;
703;05:42:12;0;2;66;
704;05:42:16;0;2;66;
705;05:42:20;0;2;66;
706;05:42:24;0;2;66;
707;05:42:28;0;2;66;
708;05:42:32;0;2;66;
709;05:42:36;0;2;66;
710;05:42:40;0;2;66;
711;05:42:44;0;2;66;
712;05:42:48;0;2;66;
713;05:42:52;0;2;66;
714;05:42:56;0;2;66;
715;05:43:00;0;2;66;
716;05:43:04;0;2;66;
717;05:43:08;0;2;66;
718;05:43:12;0;2;66;
719;05:43:16;0;2;66;
720;05:43:20;0;2;66;
721;05:43:24;0;2;66;
722;05:43:28;0;2;66;
723;05:43:32;0;2;66;
724;05:43:36;0;2;66;
725;05:43:40;0;2;66;
726;05:43:44;0;2;66;
727;05:43:48;0;2;66;
728;05:43:52;0;2;66;
729;05:43:56;0;2;66;
730;05:44:00;0;2;66;
731;05:44:04;0;2;66;
732;05:44:08;0;2;66;
733;05:44:12;0;2;66;
734;05:44:16;0;2;66;
735;05:44:20;0;2;66;
736;05:44:24;0;2;66;
737;05:44:28;0;2;66;
738;05:44:32;0;2;66;
739;05:44:36;0;2;66;
740;05:44:40;0;2;66;
741;05:44:44;0;2;66;
742;05:44:48;0;2;65;
743;05:44:52;0;2;66;
744;05:44:56;0;2;65;
745;05:45:00;0;2;65;
746;05:45:04;0;2;65;
747;05:45:08;0;2;65;
748;05:45:12;0;2;65;
749;05:45:16;0;2;65;
750;05:45:20;0;2;65;
751;05:45:24;0;2;65;
752;05:45:28;0;2;65;
753;05:45:32;0;2;65;
754;05:45:36;0;2;65;
755;05:45:40;0;2;65;
756;05:45:44;0;2;65;
757;05:45:48;0;2;65;
