Heure;Débit;Total;Pression;Densité
05:08:38;72,81818182;290;100;
05:08:40;72,81818182;292;100;
05:08:42;72,81818182;295;101;
05:08:44;74,09090909;297;100;
05:08:46;72,81818182;300;100;
05:08:48;71,54545455;302;101;
05:08:50;71,54545455;305;101;
05:08:52;70,27272727;307;100;
05:08:54;69;309;100;
05:08:56;67,72727273;312;100;
05:08:58;69;314;101;
05:09:00;69;316;100;
05:09:02;69;319;99;
05:09:04;67,72727273;321;100;
05:09:06;66,45454545;323;100;
05:09:08;67,72727273;326;101;
05:09:10;69;328;101;
05:09:13;69;330;100;
05:09:15;69;332;100;
05:09:17;67,72727273;335;101;
05:09:19;66,45454545;337;101;
05:09:21;66,45454545;339;101;
05:09:23;66,45454545;342;100;
05:09:25;67,72727273;344;101;
05:09:27;67,72727273;346;101;
05:09:29;67,72727273;348;102;
05:09:31;67,72727273;351;101;
05:09:33;69;353;101;
05:09:35;67,72727273;355;101;
05:09:37;67,72727273;357;101;
05:09:38;66,45454545;359;102;
05:09:40;65,18181818;362;102;
05:09:42;65,18181818;364;101;
05:09:44;65,18181818;366;101;
05:09:46;63,90909091;368;102;
05:09:48;63,90909091;371;103;
05:09:50;63,90909091;373;102;
05:09:52;63,90909091;375;102;
05:09:54;65,18181818;377;102;
05:09:56;63,90909091;380;102;
05:09:58;63,90909091;382;103;
05:10:00;63,90909091;384;103;
05:10:02;65,18181818;386;102;
05:10:04;63,90909091;389;102;
05:10:06;63,90909091;391;103;
05:10:08;62,63636364;393;103;
05:10:10;63,90909091;395;103;
05:10:12;63,90909091;398;103;
05:10:14;62,63636364;400;102;
05:10:16;61,36363636;402;102;
05:10:18;61,36363636;404;103;
05:10:20;61,36363636;406;103;
05:10:22;62,63636364;409;103;
05:10:24;63,90909091;411;104;
05:10:26;62,63636364;413;104;
05:10:28;63,90909091;416;104;
05:10:30;63,90909091;418;104;
05:10:32;62,63636364;420;105;
05:10:34;62,63636364;423;105;
05:10:36;62,63636364;425;104;
05:10:38;61,36363636;427;105;
05:10:40;61,36363636;430;105;
05:10:42;60,09090909;432;105;
05:10:44;61,36363636;434;104;
05:10:46;61,36363636;436;104;
05:10:48;61,36363636;439;104;
05:10:50;60,09090909;441;105;
05:10:52;58,84848485;443;105;
05:10:54;56,33333333;445;105;
05:10:56;53,81818182;447;104;
05:10:58;52,57575758;450;104;
05:11:00;50,06060606;452;105;
05:11:02;48,81818182;454;105;
05:11:04;47,57575758;456;105;
05:11:06;46,33333333;458;105;
05:11:08;43,81818182;461;104;
05:11:10;42,57575758;463;105;
05:11:12;40,06060606;465;105;
05:11:15;38,81818182;467;105;
05:11:17;36,3030303;469;106;
05:11:19;35,06060606;472;105;
05:11:21;33,81818182;474;105;
05:11:23;32,57575758;476;105;
05:11:25;30,06060606;478;105;
05:11:27;27,54545455;480;105;
05:11:29;25,03030303;483;106;
05:11:31;22,51515152;485;106;
05:11:33;21,27272727;487;105;
05:11:35;18,75757576;489;105;
05:11:36;16,24242424;491;106;
05:11:38;15;494;106;
05:11:40;12,48484848;496;106;
05:11:42;11,24242424;498;106;
05:11:44;10;500;106;
05:11:46;8,757575758;502;106;
05:11:48;7,515151515;505;106;
05:11:50;5;507;106;
05:11:52;3,757575758;509;106;
05:11:54;1,242424242;511;107;
05:11:56;0;512;104;
05:11:58;0;512;91;
05:12:00;0;512;91;
05:12:02;0;512;98;
05:12:04;0;512;95;
05:12:06;0;512;91;
05:12:08;0;512;93;
05:12:10;0;512;95;
05:12:12;0;512;92;
05:12:14;0;512;91;
05:12:16;0;512;93;
05:12:18;0;512;93;
05:12:20;0;512;91;
05:12:22;0;512;91;
05:12:24;0;512;92;
05:12:26;0;512;92;
05:12:28;0;512;90;
05:12:30;0;512;90;
05:12:32;0;512;91;
05:12:34;0;512;90;
05:12:36;0;512;90;
05:12:38;0;512;90;
05:12:40;0;512;90;
05:12:42;0;512;90;
05:12:44;0;512;89;
05:12:46;0;512;89;
05:12:48;0;512;89;
05:12:50;0;512;89;
05:12:52;0;512;89;
05:12:54;0;512;88;
05:12:56;0;512;88;
05:12:58;0;512;88;
05:13:00;0;512;88;
05:13:02;0;512;88;
05:13:04;0;512;88;
05:13:06;0;512;88;
05:13:08;0;512;87;
05:13:10;0;512;87;
05:13:12;0;512;87;
05:13:15;0;512;87;
05:13:17;0;512;87;
05:13:19;0;512;87;
05:13:21;0;512;87;
05:13:23;0;512;87;
05:13:25;0;512;86;
05:13:27;0;512;86;
05:13:29;0;512;86;
05:13:31;0;512;86;
05:13:33;0;512;86;
05:13:35;0;512;86;
05:13:36;0;512;86;
05:13:38;0;512;86;
05:13:40;0;512;86;
05:13:42;0;512;85;
05:13:44;0;512;85;
05:13:46;0;512;85;
05:13:48;0;512;85;
05:13:50;0;512;85;
05:13:52;0;512;85;
05:13:54;0;512;85;
05:13:56;0;512;85;
05:13:58;0;512;85;
05:14:00;0;512;85;
05:14:02;0;512;84;
05:14:04;0;512;84;
05:14:06;0;512;84;
05:14:08;0;512;84;
05:14:10;0;512;84;
05:14:12;0;512;84;
05:14:14;0;512;112;
05:14:16;0;512;85;
05:14:18;0;512;84;
05:14:20;0;512;85;
05:14:22;0;512;85;
05:14:24;0;512;84;
05:14:26;0;512;140;
05:14:28;0;512;88;
05:14:30;0;512;100;
05:14:32;0;512;84;
05:14:34;0;512;84;
05:14:36;0;512;84;
05:14:38;0;512;84;
05:14:40;0;512;84;
05:14:42;0;512;139;
05:14:44;0;512;92;
05:14:46;0;512;83;
05:14:48;0;512;84;
05:14:50;0;512;84;
05:14:52;0;512;90;
05:14:54;0;512;110;
05:14:56;0;512;97;
05:14:58;0;512;83;
05:15:00;0;512;83;
05:15:02;0;512;83;
05:15:04;0;512;88;
05:15:06;0;512;97;
05:15:08;0;512;88;
05:15:11;0;512;121;
05:15:13;0;512;126;
05:15:15;0;512;141;
05:15:17;0;512;126;
05:15:19;0;512;84;
05:15:21;0;512;85;
05:15:23;0;512;92;
05:15:25;0;512;100;
05:15:27;0;512;82;
05:15:29;0;512;82;
05:15:31;0;512;83;
05:15:32;0;512;82;
05:15:34;0;512;82;
05:15:36;0;512;83;
05:15:38;0;512;96;
05:15:40;0;512;101;
05:15:42;0;512;81;
05:15:44;0;512;81;
05:15:46;0;512;82;
05:15:48;0;512;82;
05:15:50;0;512;84;
05:15:52;0;512;109;
05:15:54;0;512;108;
05:15:56;0;512;131;
05:15:58;0;512;145;
05:16:00;0;512;149;
05:16:02;0;512;169;
05:16:04;0;512;135;
05:16:06;0;512;92;
05:16:08;0;512;101;
05:16:10;0;512;113;
05:16:12;0;512;86;
05:16:14;0;512;95;
05:16:16;0;512;82;
05:16:18;0;512;81;
05:16:20;0;512;81;
05:16:22;0;512;81;
05:16:24;0;512;81;
05:16:26;0;512;80;
05:16:28;0;512;80;
05:16:30;0;512;80;
05:16:32;0;512;80;
05:16:34;0;512;80;
05:16:36;0;512;80;
05:16:38;0;512;80;
05:16:40;0;512;80;
05:16:42;0;512;80;
05:16:44;0;512;80;
05:16:46;0;512;80;
05:16:48;0;512;80;
05:16:50;0;512;80;
05:16:52;0;512;80;
05:16:54;0;512;80;
05:16:56;0;512;79;
05:16:58;0;512;79;
05:17:00;0;512;79;
05:17:02;0;512;79;
05:17:04;0;512;79;
05:17:06;0;512;79;
05:17:08;0;512;79;
05:17:10;0;512;79;
05:17:12;0;512;79;
05:17:15;0;512;74;
05:17:17;0;512;12;
05:17:19;0;512;12;
05:17:21;0;512;58;
05:17:23;0;512;44;
05:17:25;0;512;43;
05:17:27;0;512;9;
05:17:29;0;512;8;
05:17:31;0;512;8;
05:17:33;0;512;0;
05:17:34;0;512;0;
05:17:36;0;512;0;
05:17:38;0;512;0;
05:17:40;0;512;0;
05:17:42;0;512;0;
05:17:44;0;512;0;
05:17:46;0;512;0;
05:17:48;0;512;0;
05:17:50;0;512;0;
05:17:52;0;512;0;
05:17:54;0;512;0;
05:17:56;0;512;0;
05:17:58;0;512;69;
05:18:00;0;512;50;
05:18:02;0;512;44;
05:18:04;0;512;40;
05:18:06;0;512;37;
05:18:08;0;512;62;
05:18:10;0;512;57;
05:18:12;0;512;68;
05:18:14;0;512;66;
05:18:16;0;512;76;
05:18:18;0;512;88;
05:18:20;0;512;108;
05:18:22;0;512;87;
05:18:24;0;512;78;
05:18:26;0;512;78;
05:18:28;0;512;79;
05:18:30;0;512;78;
05:18:32;0;512;102;
05:18:34;0;512;103;
05:18:36;0;512;77;
05:18:38;0;512;77;
05:18:40;0;512;115;
05:18:42;0;512;136;
05:18:44;0;512;146;
05:18:46;0;512;166;
05:18:48;0;512;178;
05:18:50;0;512;138;
05:18:52;0;512;105;
05:18:54;0;512;83;
05:18:56;0;512;87;
05:18:58;0;512;97;
05:19:00;0;512;84;
05:19:02;0;512;76;
05:19:04;0;512;76;
05:19:07;0;512;77;
05:19:09;0;512;77;
05:19:11;0;512;76;
05:19:13;0;512;97;
05:19:15;0;512;96;
05:19:17;0;512;91;
05:19:19;0;512;158;
05:19:21;0;512;142;
05:19:23;0;512;118;
05:19:25;0;512;144;
05:19:27;0;512;119;
05:19:29;0;512;161;
05:19:30;0;512;131;
05:19:32;0;512;173;
05:19:34;0;512;172;
05:19:36;0;512;144;
05:19:38;0;512;120;
05:19:40;0;512;99;
05:19:42;0;512;83;
05:19:44;0;512;76;
05:19:46;0;512;76;
05:19:48;0;512;76;
05:19:50;0;512;93;
05:19:52;0;512;115;
05:19:54;0;512;92;
05:19:56;0;512;156;
05:19:58;0;512;201;
05:20:00;0;512;206;
05:20:02;0;512;219;
05:20:04;0;512;200;
05:20:06;0;512;183;
05:20:08;0;512;168;
05:20:10;0;512;154;
05:20:12;0;512;142;
05:20:14;0;512;130;
05:20:16;0;512;119;
05:20:18;0;512;107;
